pwsid,total_violations_12m,total_violations_36m,total_violations_60m,health_based_violations_36m,monitoring_reporting_violations_36m,repeat_violation_count_60m,max_violation_severity,days_since_last_violation,returned_to_compliance_flag,open_violation_flag,violation_trend_direction,compliance_risk_component
OH8439812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8439912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440008,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440111,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440612,0,0,0,0,0,0,0.0,11494.0,False,False,stable_or_none,0.0
OH8440712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8440912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8441012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8441112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8441115,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8441212,0,0,0,0,0,0,0.0,8664.0,False,False,stable_or_none,0.0
OH8441312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8441412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
